,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-06-02,SUDOESTE,"-15,848741","-48,067949",2344,23.0,282.52,51,2.2
1,2020-06-02,Águas Claras,"-15,835755","-48,023704",500,4.9,293.02,10,2.0
2,2020-06-02,Recanto das Emas,"-15,91697","-48,101851",223,2.2,168.37,10,4.5
3,2020-06-02,Samambaia,"-15,874647","-48,101735",718,7.1,293.11,23,3.2
4,2020-06-02,Taguatinga,"-15,829303","-48,055925",756,7.4,363.15,7,0.9
5,2020-06-02,Vicente Pires,"-15,80135","-48,029207",147,1.4,200.13,1,0.7
6,2020-06-02,CENTRAL,"-15,787416","-47,904364",1665,16.4,423.99,17,1.0
7,2020-06-02,Plano Piloto,"-15,79558","-47,880991",1021,10.0,443.32,10,1.0
8,2020-06-02,Sudoeste/Octogonal,"-15,791981","-47,929973",191,1.9,345.65,4,2.1
9,2020-06-02,Cruzeiro,"-15,783461","-47,935849",101,1.0,327.35,0,0.0
10,2020-06-02,Lago Norte,"-15,716136","-47,872314",138,1.4,371.70,1,0.7
11,2020-06-02,Lago Sul,"-15,866769","-47,863069",205,2.0,676.12,2,1.0
12,2020-06-02,Varjão do Torto,"-15,709046","-47,878307",9,0.1,101.94,0,0.0
13,2020-06-02,CENTRO SUL,"-15,832904","-47,964603",1059,10.4,278.10,23,2.2
14,2020-06-02,Candangolândia,"-15,850394","-47,948315",38,0.4,232.59,1,2.6
15,2020-06-02,Parkway,"-15,912218","-47,958777",72,0.7,312.26,1,1.4
16,2020-06-02,Guará,"-15,819059","-47,97966",415,4.1,295.25,10,2.4
17,2020-06-02,Núcleo Bandeirante,"-15,872164","-47,968502",91,0.9,378.87,2,2.2
18,2020-06-02,Riacho Fundo I,"-15,882885","-48,016893",174,1.7,397.12,5,2.9
19,2020-06-02,Riacho Fundo II,"-15,924313","-48,037374",56,0.6,59.82,1,1.8
20,2020-06-02,SCIA (Estrutural),"-15,783705","-47,987222",209,2.1,568.40,3,1.4
21,2020-06-02,SIA,"-15,802812","-47,960215",4,0.0,152.61,0,0.0
22,2020-06-02,NORTE,"-15,661909","-47,813598",849,8.3,239.15,10,1.2
23,2020-06-02,Fercal,"-15,598803","-47,86915",11,0.1,116.13,0,0.0
24,2020-06-02,Planaltina,"-15,713838","-47,520359",436,4.3,222.35,6,1.4
25,2020-06-02,Sobradinho I,"-15,653501","-47,802874",355,3.5,498.84,4,1.1
26,2020-06-02,Sobradinho II,"-15,621837","-47,803434",47,0.5,60.04,0,0.0
27,2020-06-02,SUL,"-16,025131","-48,051063",797,7.8,291.99,13,1.6
28,2020-06-02,Gama,"-15,99793","-48,145463",459,4.5,319.44,7,1.5
29,2020-06-02,Santa Maria,"-16,024697","-47,990179",338,3.3,261.47,6,1.8
30,2020-06-02,OESTE,"-15,76191","-48,139419",1418,13.9,279.22,40,2.8
31,2020-06-02,Brazlândia,"-15,631225","-48,131325",154,1.5,240.52,3,1.9
32,2020-06-02,Ceilândia,"-15,817297","-48,170523",1264,12.4,284.80,37,2.9
33,2020-06-02,LESTE,"-15,835614","-47,715819",692,6.8,220.69,9,1.3
34,2020-06-02,Itapoã,"-15,744747","-47,764271",60,0.6,92.67,1,1.7
35,2020-06-02,Paranoá,"-15,931541","-47,525609",260,2.6,348.11,1,0.4
36,2020-06-02,São Sebastião,"-15,934012","-47,756858",253,2.5,218.13,3,1.2
37,2020-06-02,Jardim Botânico,"-15,855691","-47,809974",119,1.2,204.69,2,1.7
38,2020-06-02,População Privada de Liberdade,"-15,90473","-47,80732",780,7.7,5809.62,2,0.3
39,2020-06-02,RA em Investigação,nan,nan,570,5.6,0,0.0,
