,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-06-19,SUDOESTE,"-15,848741","-48,067949",6515,23.7,785.25,105,1.6
1,2020-06-19,Águas Claras,"-15,835755","-48,023704",1162,4.2,680.98,10,0.9
2,2020-06-19,Recanto das Emas,"-15,91697","-48,101851",768,2.8,579.85,22,2.9
3,2020-06-19,Samambaia,"-15,874647","-48,101735",1987,7.2,811.15,40,2.0
4,2020-06-19,Taguatinga,"-15,829303","-48,055925",2190,8.0,1051.99,29,1.3
5,2020-06-19,Vicente Pires,"-15,80135","-48,029207",408,1.5,555.46,4,1.0
6,2020-06-19,CENTRAL,"-15,787416","-47,904364",3649,13.3,929.21,35,1.0
7,2020-06-19,Plano Piloto,"-15,79558","-47,880991",2273,8.3,986.93,22,1.0
8,2020-06-19,Sudoeste/Octogonal,"-15,791981","-47,929973",429,1.6,776.36,6,1.4
9,2020-06-19,Cruzeiro,"-15,783461","-47,935849",228,0.8,738.96,0,0.0
10,2020-06-19,Lago Norte,"-15,716136","-47,872314",281,1.0,756.86,1,0.4
11,2020-06-19,Lago Sul,"-15,866769","-47,863069",407,1.5,1342.35,5,1.2
12,2020-06-19,Varjão do Torto,"-15,709046","-47,878307",31,0.1,351.12,1,0.0
13,2020-06-19,CENTRO SUL,"-15,832904","-47,964603",2974,10.8,780.99,43,1.4
14,2020-06-19,Candangolândia,"-15,850394","-47,948315",146,0.5,893.62,2,1.4
15,2020-06-19,Parkway,"-15,912218","-47,958777",173,0.6,750.28,3,1.7
16,2020-06-19,Guará,"-15,819059","-47,97966",1089,4.0,774.76,14,1.3
17,2020-06-19,Núcleo Bandeirante,"-15,872164","-47,968502",242,0.9,1007.54,5,2.1
18,2020-06-19,Riacho Fundo I,"-15,882885","-48,016893",615,2.2,1403.63,8,1.3
19,2020-06-19,Riacho Fundo II,"-15,924313","-48,037374",241,0.9,257.43,1,0.4
20,2020-06-19,SCIA (Estrutural),"-15,783705","-47,987222",450,1.6,1223.82,10,2.2
21,2020-06-19,SIA,"-15,802812","-47,960215",18,0.1,686.76,0,0.0
22,2020-06-19,NORTE,"-15,661909","-47,813598",2197,8.0,618.86,33,1.5
23,2020-06-19,Fercal,"-15,598803","-47,86915",19,0.1,200.59,0,0.0
24,2020-06-19,Planaltina,"-15,713838","-47,520359",1013,3.7,516.61,18,1.8
25,2020-06-19,Sobradinho I,"-15,653501","-47,802874",997,3.6,1400.97,13,1.3
26,2020-06-19,Sobradinho II,"-15,621837","-47,803434",168,0.6,214.61,2,1.2
27,2020-06-19,SUL,"-16,025131","-48,051063",2543,9.3,931.64,29,1.1
28,2020-06-19,Gama,"-15,99793","-48,145463",1489,5.4,1036.27,17,1.1
29,2020-06-19,Santa Maria,"-16,024697","-47,990179",1054,3.8,815.34,12,1.1
30,2020-06-19,OESTE,"-15,76191","-48,139419",4670,17.0,919.56,95,2.0
31,2020-06-19,Brazlândia,"-15,631225","-48,131325",465,1.7,726.26,6,1.3
32,2020-06-19,Ceilândia,"-15,817297","-48,170523",4205,15.3,947.45,89,2.1
33,2020-06-19,LESTE,"-15,835614","-47,715819",2664,9.7,849.59,22,0.8
34,2020-06-19,Itapoã,"-15,744747","-47,764271",360,1.3,556.01,2,0.6
35,2020-06-19,Paranoá,"-15,931541","-47,525609",1032,3.8,1381.71,5,0.5
36,2020-06-19,São Sebastião,"-15,934012","-47,756858",894,3.3,770.77,11,1.2
37,2020-06-19,Jardim Botânico,"-15,855691","-47,809974",378,1.4,650.18,2,0.5
38,2020-06-19,População Privada de Liberdade,"-15,90473","-47,80732",1006,3.7,7492.92,2,0.2
39,2020-06-19,RA em Investigação,nan,nan,1235,4.5,0,0.0,
