,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-06-05,SUDOESTE,"-15,848741","-48,067949",2956,23.0,356.29,56,1.9
1,2020-06-05,Águas Claras,"-15,835755","-48,023704",589,4.6,345.18,10,1.7
2,2020-06-05,Recanto das Emas,"-15,91697","-48,101851",305,2.4,230.28,12,3.9
3,2020-06-05,Samambaia,"-15,874647","-48,101735",892,6.9,364.14,25,2.8
4,2020-06-05,Taguatinga,"-15,829303","-48,055925",983,7.6,472.19,8,0.8
5,2020-06-05,Vicente Pires,"-15,80135","-48,029207",187,1.5,254.59,1,0.5
6,2020-06-05,CENTRAL,"-15,787416","-47,904364",1958,15.2,498.60,19,1.0
7,2020-06-05,Plano Piloto,"-15,79558","-47,880991",1226,9.5,532.33,11,0.9
8,2020-06-05,Sudoeste/Octogonal,"-15,791981","-47,929973",226,1.8,408.99,4,1.8
9,2020-06-05,Cruzeiro,"-15,783461","-47,935849",112,0.9,363.00,0,0.0
10,2020-06-05,Lago Norte,"-15,716136","-47,872314",158,1.2,425.57,1,0.6
11,2020-06-05,Lago Sul,"-15,866769","-47,863069",227,1.8,748.68,3,1.3
12,2020-06-05,Varjão do Torto,"-15,709046","-47,878307",9,0.1,101.94,0,0.0
13,2020-06-05,CENTRO SUL,"-15,832904","-47,964603",1375,10.7,361.08,26,1.9
14,2020-06-05,Candangolândia,"-15,850394","-47,948315",46,0.4,281.55,1,2.2
15,2020-06-05,Parkway,"-15,912218","-47,958777",79,0.6,342.61,1,1.3
16,2020-06-05,Guará,"-15,819059","-47,97966",552,4.3,392.71,10,1.8
17,2020-06-05,Núcleo Bandeirante,"-15,872164","-47,968502",115,0.9,478.79,2,1.7
18,2020-06-05,Riacho Fundo I,"-15,882885","-48,016893",219,1.7,499.83,7,3.2
19,2020-06-05,Riacho Fundo II,"-15,924313","-48,037374",82,0.6,87.59,1,1.2
20,2020-06-05,SCIA (Estrutural),"-15,783705","-47,987222",278,2.2,756.05,4,1.4
21,2020-06-05,SIA,"-15,802812","-47,960215",4,0.0,152.61,0,0.0
22,2020-06-05,NORTE,"-15,661909","-47,813598",1024,8.0,288.45,15,1.5
23,2020-06-05,Fercal,"-15,598803","-47,86915",14,0.1,147.80,0,0.0
24,2020-06-05,Planaltina,"-15,713838","-47,520359",506,3.9,258.05,9,1.8
25,2020-06-05,Sobradinho I,"-15,653501","-47,802874",449,3.5,630.93,6,1.3
26,2020-06-05,Sobradinho II,"-15,621837","-47,803434",55,0.4,70.26,0,0.0
27,2020-06-05,SUL,"-16,025131","-48,051063",1114,8.7,408.12,15,1.3
28,2020-06-05,Gama,"-15,99793","-48,145463",638,5.0,444.02,8,1.3
29,2020-06-05,Santa Maria,"-16,024697","-47,990179",476,3.7,368.22,7,1.5
30,2020-06-05,OESTE,"-15,76191","-48,139419",1881,14.6,370.38,44,2.3
31,2020-06-05,Brazlândia,"-15,631225","-48,131325",215,1.7,335.80,3,1.4
32,2020-06-05,Ceilândia,"-15,817297","-48,170523",1666,13.0,375.37,41,2.5
33,2020-06-05,LESTE,"-15,835614","-47,715819",908,7.1,289.57,11,1.2
34,2020-06-05,Itapoã,"-15,744747","-47,764271",105,0.8,162.17,1,1.0
35,2020-06-05,Paranoá,"-15,931541","-47,525609",345,2.7,461.91,3,0.9
36,2020-06-05,São Sebastião,"-15,934012","-47,756858",322,2.5,277.61,3,0.9
37,2020-06-05,Jardim Botânico,"-15,855691","-47,809974",136,1.1,233.93,2,1.5
38,2020-06-05,População Privada de Liberdade,"-15,90473","-47,80732",793,6.2,5906.45,2,0.3
39,2020-06-05,RA em Investigação,nan,nan,855,6.6,0,0.0,
