,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-05-28,SUDOESTE,"-15,848741","-48,067949",1733,23.1,208.88,43,2.5
1,2020-05-28,Águas Claras,"-15,835755","-48,023704",417,5.6,244.38,8,1.9
2,2020-05-28,Recanto das Emas,"-15,91697","-48,101851",171,2.3,129.11,10,5.8
3,2020-05-28,Samambaia,"-15,874647","-48,101735",510,6.8,208.20,20,3.9
4,2020-05-28,Taguatinga,"-15,829303","-48,055925",519,6.9,249.31,4,0.8
5,2020-05-28,Vicente Pires,"-15,80135","-48,029207",116,1.5,157.93,1,0.9
6,2020-05-28,CENTRAL,"-15,787416","-47,904364",1313,17.5,334.35,11,0.8
7,2020-05-28,Plano Piloto,"-15,79558","-47,880991",799,10.7,346.92,8,1.0
8,2020-05-28,Sudoeste/Octogonal,"-15,791981","-47,929973",142,1.9,256.98,2,1.4
9,2020-05-28,Cruzeiro,"-15,783461","-47,935849",83,1.1,269.01,0,0.0
10,2020-05-28,Lago Norte,"-15,716136","-47,872314",105,1.4,282.81,0,0.0
11,2020-05-28,Lago Sul,"-15,866769","-47,863069",179,2.4,590.37,1,0.6
12,2020-05-28,Varjão do Torto,"-15,709046","-47,878307",5,0.1,56.63,0,0.0
13,2020-05-28,CENTRO SUL,"-15,832904","-47,964603",760,10.1,199.58,20,2.6
14,2020-05-28,Candangolândia,"-15,850394","-47,948315",29,0.4,177.50,1,3.4
15,2020-05-28,Parkway,"-15,912218","-47,958777",62,0.8,268.89,1,1.6
16,2020-05-28,Guará,"-15,819059","-47,97966",327,4.4,232.64,9,2.8
17,2020-05-28,Núcleo Bandeirante,"-15,872164","-47,968502",65,0.9,270.62,2,3.1
18,2020-05-28,Riacho Fundo I,"-15,882885","-48,016893",109,1.5,248.77,4,3.7
19,2020-05-28,Riacho Fundo II,"-15,924313","-48,037374",41,0.5,43.80,1,2.4
20,2020-05-28,SCIA (Estrutural),"-15,783705","-47,987222",124,1.7,337.23,2,1.6
21,2020-05-28,SIA,"-15,802812","-47,960215",3,0.0,114.46,0,0.0
22,2020-05-28,NORTE,"-15,661909","-47,813598",616,8.2,173.52,8,1.3
23,2020-05-28,Fercal,"-15,598803","-47,86915",10,0.1,105.57,0,0.0
24,2020-05-28,Planaltina,"-15,713838","-47,520359",306,4.1,156.05,6,2.0
25,2020-05-28,Sobradinho I,"-15,653501","-47,802874",264,3.5,370.97,2,0.8
26,2020-05-28,Sobradinho II,"-15,621837","-47,803434",36,0.5,45.99,0,0.0
27,2020-05-28,SUL,"-16,025131","-48,051063",607,8.1,222.38,10,1.6
28,2020-05-28,Gama,"-15,99793","-48,145463",354,4.7,246.37,4,1.1
29,2020-05-28,Santa Maria,"-16,024697","-47,990179",253,3.4,195.71,6,2.4
30,2020-05-28,OESTE,"-15,76191","-48,139419",909,12.1,178.99,32,3.5
31,2020-05-28,Brazlândia,"-15,631225","-48,131325",112,1.5,174.93,3,2.7
32,2020-05-28,Ceilândia,"-15,817297","-48,170523",797,10.6,179.58,29,3.6
33,2020-05-28,LESTE,"-15,835614","-47,715819",522,7.0,166.47,8,1.5
34,2020-05-28,Itapoã,"-15,744747","-47,764271",46,0.6,71.05,1,2.2
35,2020-05-28,Paranoá,"-15,931541","-47,525609",178,2.4,238.32,1,0.6
36,2020-05-28,São Sebastião,"-15,934012","-47,756858",199,2.7,171.57,3,1.5
37,2020-05-28,Jardim Botânico,"-15,855691","-47,809974",99,1.3,170.28,2,2.0
38,2020-05-28,População Privada de Liberdade,"-15,90473","-47,80732",691,9.2,5146.73,1,0.1
39,2020-05-28,RA em Investigação,nan,nan,339,4.5,0,0.0,
