,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-04-10,SUDOESTE,"-15,848741","-48,067949",115,22.2,13.86,0,0
1,2020-04-10,Águas Claras,"-15,835755","-48,023704",61,11.8,35.75,0,0
2,2020-04-10,Recanto das Emas,"-15,91697","-48,101851",0,0.0,0.00,0,0
3,2020-04-10,Samambaia,"-15,874647","-48,101735",15,2.9,6.12,0,0
4,2020-04-10,Taguatinga,"-15,829303","-48,055925",17,3.3,8.17,0,0
5,2020-04-10,Vicente Pires,"-15,80135","-48,029207",22,4.2,29.95,0,0
6,2020-04-10,CENTRAL,"-15,787416","-47,904364",283,54.6,72.07,0,0
7,2020-04-10,Plano Piloto,"-15,79558","-47,880991",158,30.5,68.60,0,0
8,2020-04-10,Sudoeste/Octogonal,"-15,791981","-47,929973",37,7.1,66.96,0,0
9,2020-04-10,Cruzeiro,"-15,783461","-47,935849",8,1.5,25.93,0,0
10,2020-04-10,Lago Norte,"-15,716136","-47,872314",19,3.7,51.18,0,0
11,2020-04-10,Lago Sul,"-15,866769","-47,863069",61,11.8,201.19,0,0
12,2020-04-10,Varjão do Torto,"-15,709046","-47,878307",0,0.0,0.00,0,0
13,2020-04-10,CENTRO SUL,"-15,832904","-47,964603",49,9.5,12.87,0,0
14,2020-04-10,Candangolândia,"-15,850394","-47,948315",0,0.0,0.00,0,0
15,2020-04-10,Parkway,"-15,912218","-47,958777",7,1.4,30.36,0,0
16,2020-04-10,Guará,"-15,819059","-47,97966",35,6.8,24.90,0,0
17,2020-04-10,Núcleo Bandeirante,"-15,872164","-47,968502",6,1.2,24.98,0,0
18,2020-04-10,Riacho Fundo I,"-15,882885","-48,016893",1,0.2,2.28,0,0
19,2020-04-10,Riacho Fundo II,"-15,924313","-48,037374",0,0.0,0.00,0,0
20,2020-04-10,SCIA (Estrutural),"-15,783705","-47,987222",0,0.0,0.00,0,0
21,2020-04-10,NORTE,"-15,661909","-47,813598",14,2.7,3.94,0,0
22,2020-04-10,Fercal,"-15,598803","-47,86915",0,0.0,0.00,0,0
23,2020-04-10,Planaltina,"-15,713838","-47,520359",1,0.2,0.51,0,0
24,2020-04-10,Sobradinho I,"-15,653501","-47,802874",12,2.3,16.86,0,0
25,2020-04-10,Sobradinho II,"-15,621837","-47,803434",1,0.2,1.28,0,0
26,2020-04-10,SUL,"-16,025131","-48,051063",24,4.6,8.79,0,0
27,2020-04-10,Gama,"-15,99793","-48,145463",18,3.5,12.53,0,0
28,2020-04-10,Santa Maria,"-16,024697","-47,990179",6,1.2,4.64,0,0
29,2020-04-10,LESTE,"-15,835614","-47,715819",19,3.7,6.06,0,0
30,2020-04-10,Jardim Botânico,"-15,855691","-47,809974",12,2.3,20.64,0,0
31,2020-04-10,Itapoã,"-15,744747","-47,764271",1,0.2,1.54,0,0
32,2020-04-10,Paranoá,"-15,931541","-47,525609",2,0.4,2.68,0,0
33,2020-04-10,São Sebastião,"-15,934012","-47,756858",4,0.8,3.45,0,0
34,2020-04-10,OESTE,"-15,76191","-48,139419",14,2.7,2.76,0,0
35,2020-04-10,Brazlândia,"-15,631225","-48,131325",0,0.0,0.00,0,0
36,2020-04-10,Ceilândia,"-15,817297","-48,170523",14,2.7,3.15,0,0
